,value,percentage,type,cod_ccaa,ccaa,month,year
62,28665.354,0.0254481491561974,Hidráulica,4,Andalucía,3,2020
63,36060.911,0.0305388479066237,Hidráulica,4,Andalucía,4,2020
64,53778.995,0.0373552893091331,Hidráulica,4,Andalucía,5,2020
65,80407.323,0.0571201098826037,Hidráulica,4,Andalucía,6,2020
66,97704.613,0.064009002529589,Hidráulica,4,Andalucía,7,2020
67,84337.254,0.0609187860850597,Hidráulica,4,Andalucía,8,2020
68,42483.781,0.0317723955228838,Hidráulica,4,Andalucía,9,2020
69,17755.557,0.0147287483302982,Hidráulica,4,Andalucía,10,2020
70,9664.39,0.0093466223374052,Hidráulica,4,Andalucía,11,2020
71,19656.556,0.0188819479157736,Hidráulica,4,Andalucía,12,2020
72,353679.441,0.476420342852115,Eólica,4,Andalucía,1,2020
73,472449.362,0.4832863637411032,Eólica,4,Andalucía,2,2020
74,626781.016,0.5564353673581351,Eólica,4,Andalucía,3,2020
75,660929.653,0.5597204726731569,Eólica,4,Andalucía,4,2020
76,640374.893,0.4448091563317648,Eólica,4,Andalucía,5,2020
77,490236.942,0.3482566879580315,Eólica,4,Andalucía,6,2020
78,584489.962,0.3829155892176494,Eólica,4,Andalucía,7,2020
79,463431.146,0.3347472381342659,Eólica,4,Andalucía,8,2020
80,645826.847,0.4829952875941286,Eólica,4,Andalucía,9,2020
81,550722.162,0.4568399698199122,Eólica,4,Andalucía,10,2020
82,596831.057,0.5772070962588822,Eólica,4,Andalucía,11,2020
83,640398.885,0.6151626150526839,Eólica,4,Andalucía,12,2020
84,150462.326,0.2026787667854482,Solar fotovoltaica,4,Andalucía,1,2020
85,227757.467,0.2329817476636031,Solar fotovoltaica,4,Andalucía,2,2020
86,246833.378,0.2191304743723754,Solar fotovoltaica,4,Andalucía,3,2020
87,256283.305,0.2170382459944475,Solar fotovoltaica,4,Andalucía,4,2020
88,370455.063,0.2573208378921576,Solar fotovoltaica,4,Andalucía,5,2020
89,409526.94,0.2909215596281757,Solar fotovoltaica,4,Andalucía,6,2020
90,404527.634,0.2650172755711614,Solar fotovoltaica,4,Andalucía,7,2020
91,389370.383,0.2812514036778428,Solar fotovoltaica,4,Andalucía,8,2020
92,305996.53,0.2288459866552364,Solar fotovoltaica,4,Andalucía,9,2020
93,320269.742,0.2656730187471756,Solar fotovoltaica,4,Andalucía,10,2020
94,210784.183,0.2038535441139599,Solar fotovoltaica,4,Andalucía,11,2020
95,183507.791,0.1762762791101695,Solar fotovoltaica,4,Andalucía,12,2020
96,44447.639,0.0598727462118643,Solar térmica,4,Andalucía,1,2020
97,109593.565,0.112107412515194,Solar térmica,4,Andalucía,2,2020
98,99433.922,0.0882741332356022,Solar térmica,4,Andalucía,3,2020
99,91116.204,0.0771634387102673,Solar térmica,4,Andalucía,4,2020
100,240553.942,0.1670905545531752,Solar térmica,4,Andalucía,5,2020
101,305847.748,0.2172694764767496,Solar térmica,4,Andalucía,6,2020
102,326152.829,0.2136717665162199,Solar térmica,4,Andalucía,7,2020
103,310020.222,0.2239349123942394,Solar térmica,4,Andalucía,8,2020
104,190018.735,0.1421095359939372,Solar térmica,4,Andalucía,9,2020
105,161620.57,0.1340689396862823,Solar térmica,4,Andalucía,10,2020
106,59885.897,0.0579168330950788,Solar térmica,4,Andalucía,11,2020
107,39774.681,0.0382072757307288,Solar térmica,4,Andalucía,12,2020
108,150126.992,0.2022270584848519,Otras renovables,4,Andalucía,1,2020
109,136580.669,0.1397135443233749,Otras renovables,4,Andalucía,2,2020
110,124708.288,0.1107118758776895,Otras renovables,4,Andalucía,3,2020
111,136430.864,0.1155389947155044,Otras renovables,4,Andalucía,4,2020
112,134499.227,0.093424161913769,Otras renovables,4,Andalucía,5,2020
113,121669.568,0.0864321660544392,Otras renovables,4,Andalucía,6,2020
114,113544.827,0.07438636616538,Otras renovables,4,Andalucía,7,2020
115,137262.114,0.0991476597085918,Otras renovables,4,Andalucía,8,2020
116,152802.778,0.1142767942338138,Otras renovables,4,Andalucía,9,2020
117,155135.424,0.1286893234163314,Otras renovables,4,Andalucía,10,2020
118,156832.601,0.1516759041946737,Otras renovables,4,Andalucía,11,2020
119,157685.825,0.1514718821906441,Otras renovables,4,Andalucía,12,2020
120,35682.265,0.0336850710727819,Hidráulica,4,Andalucía,1,2021
121,46985.569,0.039438505888221,Hidráulica,4,Andalucía,2,2021
122,45394.407,0.0342776262243994,Hidráulica,4,Andalucía,3,2021
123,39624.225,0.0317021674067288,Hidráulica,4,Andalucía,4,2021
124,66090.316,0.0407400932625843,Hidráulica,4,Andalucía,5,2021
125,63825.421,0.0427894525111619,Hidráulica,4,Andalucía,6,2021
126,69788.766,0.0404834172567749,Hidráulica,4,Andalucía,7,2021
127,56318.901,0.0414284144296394,Hidráulica,4,Andalucía,8,2021
128,28124.341,0.0234195263739345,Hidráulica,4,Andalucía,9,2021
129,14829.391,0.0110186383344476,Hidráulica,4,Andalucía,10,2021
130,11331.529,0.0102916247731219,Hidráulica,4,Andalucía,11,2021
131,15024.074,0.0111315517768114,Hidráulica,4,Andalucía,12,2021
132,605060.374,0.5711941689103546,Eólica,4,Andalucía,1,2021
133,721153.394,0.6053180365992709,Eólica,4,Andalucía,2,2021
134,604386.731,0.4563765412819397,Eólica,4,Andalucía,3,2021
135,565654.657,0.4525635171567333,Eólica,4,Andalucía,4,2021
136,592828.424,0.3654375821485086,Eólica,4,Andalucía,5,2021
137,456862.149,0.3062867572590376,Eólica,4,Andalucía,6,2021
138,601270.327,0.3487879056646237,Eólica,4,Andalucía,7,2021
139,380676.358,0.2800270893565516,Eólica,4,Andalucía,8,2021
140,425373.223,0.3542141454910543,Eólica,4,Andalucía,9,2021
141,646288.366,0.4802097243720358,Eólica,4,Andalucía,10,2021
142,532630.675,0.4837506968172327,Eólica,4,Andalucía,11,2021
143,847548.65,0.6279609432728861,Eólica,4,Andalucía,12,2021
144,213710.908,0.2017491637654943,Solar fotovoltaica,4,Andalucía,1,2021
145,231989.192,0.1947258979601936,Solar fotovoltaica,4,Andalucía,2,2021
146,408278.78,0.3082940904194172,Solar fotovoltaica,4,Andalucía,3,2021
147,402297.899,0.3218666192581249,Solar fotovoltaica,4,Andalucía,4,2021
148,556125.915,0.342813032439428,Solar fotovoltaica,4,Andalucía,5,2021
149,561098.376,0.3761681777851818,Solar fotovoltaica,4,Andalucía,6,2021
150,591088.049,0.3428813187950625,Solar fotovoltaica,4,Andalucía,7,2021
151,528290.277,0.3886124932499128,Solar fotovoltaica,4,Andalucía,8,2021
152,432330.446,0.3600075209709578,Solar fotovoltaica,4,Andalucía,9,2021
153,405044.314,0.3009588731857202,Solar fotovoltaica,4,Andalucía,10,2021
154,325035.538,0.2952067452702834,Solar fotovoltaica,4,Andalucía,11,2021
155,260350.973,0.1928977676822371,Solar fotovoltaica,4,Andalucía,12,2021
156,53930.207,0.0509116463252779,Solar térmica,4,Andalucía,1,2021
157,62025.987,0.0520630547971488,Solar térmica,4,Andalucía,2,2021
158,158688.61,0.1198268513486584,Solar térmica,4,Andalucía,3,2021
159,111872.759,0.0895060770039193,Solar térmica,4,Andalucía,4,2021
160,281104.125,0.1732811849318009,Solar térmica,4,Andalucía,5,2021
161,283610.94,0.1901367301404246,Solar térmica,4,Andalucía,6,2021
162,336868.959,0.1954126345786426,Solar térmica,4,Andalucía,7,2021
163,259564.706,0.1909368617025306,Solar térmica,4,Andalucía,8,2021
164,194498.853,0.1619618755701159,Solar térmica,4,Andalucía,9,2021
165,140754.854,0.104584660964431,Solar térmica,4,Andalucía,10,2021
166,76784.57,0.0697379835329829,Solar térmica,4,Andalucía,11,2021
167,56211.258,0.0416477267661691,Solar térmica,4,Andalucía,12,2021
168,150906.426,0.142459949926091,Otras renovables,4,Andalucía,1,2021
169,129208.663,0.1084545047551656,Otras renovables,4,Andalucía,2,2021
170,107567.418,0.0812248907255852,Otras renovables,4,Andalucía,3,2021
171,130440.554,0.1043616191744935,Otras renovables,4,Andalucía,4,2021
172,126093.849,0.0777281072176781,Otras renovables,4,Andalucía,5,2021
173,126218.857,0.084618882304194,Otras renovables,4,Andalucía,6,2021
174,124869.152,0.0724347237048961,Otras renovables,4,Andalucía,7,2021
175,134576.658,0.0989951412613653,Otras renovables,4,Andalucía,8,2021
176,120565.954,0.1003969315939375,Otras renovables,4,Andalucía,9,2021
177,138929.136,0.1032281031433653,Otras renovables,4,Andalucía,10,2021
178,155261.425,0.1410129496063787,Otras renovables,4,Andalucía,11,2021
179,170548.746,0.1263620105018961,Otras renovables,4,Andalucía,12,2021
180,131495.03,0.1496412995480898,Hidráulica,5,Aragón,1,2019
181,221430.474,0.3891233291056643,Hidráulica,5,Aragón,2,2019
182,200132.786,0.2812927029106596,Hidráulica,5,Aragón,3,2019
183,178686.785,0.2916103374694053,Hidráulica,5,Aragón,4,2019
184,302077.376,0.3130918635375393,Hidráulica,5,Aragón,5,2019
185,266470.668,0.4076342459489652,Hidráulica,5,Aragón,6,2019
186,199161.329,0.3230495026572063,Hidráulica,5,Aragón,7,2019
187,156725.948,0.3430474067438626,Hidráulica,5,Aragón,8,2019
188,103073.651,0.2063500669408778,Hidráulica,5,Aragón,9,2019
189,130416.331,0.2526682499426283,Hidráulica,5,Aragón,10,2019
190,243630.788,0.2861116605609765,Hidráulica,5,Aragón,11,2019
191,413610.263,0.4299276935381387,Hidráulica,5,Aragón,12,2019
192,726757.534,0.8270498272377678,Eólica,5,Aragón,1,2019
193,318790.942,0.5602164435585806,Eólica,5,Aragón,2,2019
194,473986.275,0.6662020906324925,Eólica,5,Aragón,3,2019
195,402582.527,0.6570000493195733,Eólica,5,Aragón,4,2019
196,621420.445,0.6440789699039791,Eólica,5,Aragón,5,2019
197,347042.749,0.5308896110872173,Eólica,5,Aragón,6,2019
198,377958.303,0.6130670166863151,Eólica,5,Aragón,7,2019
199,263386.659,0.5765102173181944,Eólica,5,Aragón,8,2019
200,364672.339,0.7300620559577976,Eólica,5,Aragón,9,2019
201,359265.976,0.6960409384607692,Eólica,5,Aragón,10,2019
202,588284.062,0.690860671765247,Eólica,5,Aragón,11,2019
203,516315.277,0.536684545903338,Eólica,5,Aragón,12,2019
204,15605.837,0.0177594372138297,Solar fotovoltaica,5,Aragón,1,2019
205,23485.877,0.0412721089383846,Solar fotovoltaica,5,Aragón,2,2019
206,31154.675,0.0437888409700805,Solar fotovoltaica,5,Aragón,3,2019
207,25724.805,0.0419819466077731,Solar fotovoltaica,5,Aragón,4,2019
208,35460.804,0.0367537925345969,Solar fotovoltaica,5,Aragón,5,2019
209,34797.633,0.0532317759220081,Solar fotovoltaica,5,Aragón,6,2019
210,34472.594,0.0559162484148908,Solar fotovoltaica,5,Aragón,7,2019
211,32966.806,0.0721589338028952,Solar fotovoltaica,5,Aragón,8,2019
212,28060.968,0.0561771371155352,Solar fotovoltaica,5,Aragón,9,2019
213,22121.294,0.0428577356730451,Solar fotovoltaica,5,Aragón,10,2019
214,15347.695,0.0180238078211748,Solar fotovoltaica,5,Aragón,11,2019
215,28925.543,0.0300666910345216,Solar fotovoltaica,5,Aragón,12,2019
216,4876.483,0.0055494360003124,Otras renovables,5,Aragón,1,2019
217,5342.305,0.0093881183973703,Otras renovables,5,Aragón,2,2019
218,6201.478,0.0087163654867673,Otras renovables,5,Aragón,3,2019
219,5764.63,0.009407666603248,Otras renovables,5,Aragón,4,2019
220,5861.644,0.0060753740238846,Otras renovables,5,Aragón,5,2019
221,5389.346,0.0082443670418091,Otras renovables,5,Aragón,6,2019
222,4911.831,0.0079672322415876,Otras renovables,5,Aragón,7,2019
223,3784.405,0.0082834421350477,Otras renovables,5,Aragón,8,2019
224,3701.729,0.0074107399857892,Otras renovables,5,Aragón,9,2019
225,4352.786,0.0084330759235572,Otras renovables,5,Aragón,10,2019
226,4260.904,0.0050038598526016,Otras renovables,5,Aragón,11,2019
227,3195.022,0.0033210695240016,Otras renovables,5,Aragón,12,2019
228,287280.183,0.396470127187337,Hidráulica,5,Aragón,1,2020
229,269668.184,0.3412765928797077,Hidráulica,5,Aragón,2,2020
230,411437.656,0.3442532971621774,Hidráulica,5,Aragón,3,2020
231,420455.39,0.423757374842193,Hidráulica,5,Aragón,4,2020
232,458389.649,0.4007111645611421,Hidráulica,5,Aragón,5,2020
233,326459.216,0.3289340430454505,Hidráulica,5,Aragón,6,2020
234,257572.389,0.2180961364237858,Hidráulica,5,Aragón,7,2020
235,209517.142,0.1954211823050279,Hidráulica,5,Aragón,8,2020
236,150212.625,0.1586009137710991,Hidráulica,5,Aragón,9,2020
237,240267.683,0.1989560177675142,Hidráulica,5,Aragón,10,2020
238,202285.404,0.2706733157928651,Hidráulica,5,Aragón,11,2020
239,233144.363,0.1740433584311591,Hidráulica,5,Aragón,12,2020
240,394171.704,0.543989160639491,Eólica,5,Aragón,1,2020
241,425887.595,0.5389789229690248,Eólica,5,Aragón,2,2020
242,668910.602,0.5596830452612656,Eólica,5,Aragón,3,2020
243,438322.747,0.44176505051425,Eólica,5,Aragón,4,2020
244,497416.938,0.4348277081152359,Eólica,5,Aragón,5,2020
245,464523.454,0.4680449205442475,Eólica,5,Aragón,6,2020
246,702703.285,0.5950050473414775,Eólica,5,Aragón,7,2020
247,668388.852,0.6234207781306044,Eólica,5,Aragón,8,2020
248,638260.961,0.6739032197794286,Eólica,5,Aragón,9,2020
249,858017.434,0.7104897742063004,Eólica,5,Aragón,10,2020
250,495030.509,0.6623886184574135,Eólica,5,Aragón,11,2020
251,1062711.647,0.7933192195077368,Eólica,5,Aragón,12,2020
252,38977.426,0.0537920328589285,Solar fotovoltaica,5,Aragón,1,2020
253,90623.606,0.1146880400624236,Solar fotovoltaica,5,Aragón,2,2020
254,110752.033,0.0926671440293843,Solar fotovoltaica,5,Aragón,3,2020
255,130256.844,0.1312797970521178,Solar fotovoltaica,5,Aragón,4,2020
256,184508.348,0.1612919383315579,Solar fotovoltaica,5,Aragón,5,2020
257,197867.205,0.1993671997507736,Solar fotovoltaica,5,Aragón,6,2020
258,216928.639,0.1836815593055286,Solar fotovoltaica,5,Aragón,7,2020
259,190992.433,0.1781427844609193,Solar fotovoltaica,5,Aragón,8,2020
260,155115.966,0.1637780709050703,Solar fotovoltaica,5,Aragón,9,2020
261,105574.1,0.0874216717501259,Solar fotovoltaica,5,Aragón,10,2020
262,46269.485,0.0619121037767916,Solar fotovoltaica,5,Aragón,11,2020
263,41018.534,0.0306205276568607,Solar fotovoltaica,5,Aragón,12,2020
264,4165.463,0.0057486793142433,Otras renovables,5,Aragón,1,2020
265,3995.475,0.0050564440888438,Otras renovables,5,Aragón,2,2020
266,4059.376,0.0033965135471727,Otras renovables,5,Aragón,3,2020
267,3172.86,0.0031977775914391,Otras renovables,5,Aragón,4,2020
268,3625.363,0.0031691889920639,Otras renovables,5,Aragón,5,2020
269,3626.346,0.0036538366595283,Otras renovables,5,Aragón,6,2020
270,3799.593,0.0032172569292078,Otras renovables,5,Aragón,7,2020
271,3232.749,0.0030152551034482,Otras renovables,5,Aragón,8,2020
272,3521.164,0.0037177955444018,Otras renovables,5,Aragón,9,2020
273,3782.983,0.0031325362760592,Otras renovables,5,Aragón,10,2020
274,3756.11,0.0050259619729297,Otras renovables,5,Aragón,11,2020
275,2701.784,0.0020168944042433,Otras renovables,5,Aragón,12,2020
276,227814.858,0.1428110905827463,Hidráulica,5,Aragón,1,2021
277,306758.08,0.2551748716454709,Hidráulica,5,Aragón,2,2021
278,270285.922,0.1748944497462072,Hidráulica,5,Aragón,3,2021
279,235923.132,0.197342086979294,Hidráulica,5,Aragón,4,2021
280,289607.81,0.2242737190020948,Hidráulica,5,Aragón,5,2021
281,275771.771,0.2540784589297809,Hidráulica,5,Aragón,6,2021
282,226436.584,0.1665733081183365,Hidráulica,5,Aragón,7,2021
283,178880.721,0.1563856132445995,Hidráulica,5,Aragón,8,2021
284,122543.897,0.1527898265160605,Hidráulica,5,Aragón,9,2021
285,111800.572,0.1194348984851288,Hidráulica,5,Aragón,10,2021
286,102818.548,0.062268645580299,Hidráulica,5,Aragón,11,2021
287,300180.331,0.2259334900227299,Hidráulica,5,Aragón,12,2021
288,1308593.598,0.820322609774556,Eólica,5,Aragón,1,2021
289,830282.066,0.6906651639659709,Eólica,5,Aragón,2,2021
290,1141945.948,0.7389212384334652,Eólica,5,Aragón,3,2021
291,773997.346,0.6474238040213656,Eólica,5,Aragón,4,2021
292,738724.988,0.5720722807114141,Eólica,5,Aragón,5,2021
293,577510.594,0.5320812975420257,Eólica,5,Aragón,6,2021
294,868237.682,0.6387007804522271,Eólica,5,Aragón,7,2021
295,724809.078,0.6336608635889988,Eólica,5,Aragón,8,2021
296,498674.278,0.6217556181001959,Eólica,5,Aragón,9,2021
297,657321.514,0.7022068571946231,Eólica,5,Aragón,10,2021
298,1431317.856,0.8668302171318106,Eólica,5,Aragón,11,2021
299,959606.523,0.7222566850656418,Eólica,5,Aragón,12,2021
300,54540.025,0.0341896947329934,Solar fotovoltaica,5,Aragón,1,2021
301,62253.228,0.0517849748714564,Solar fotovoltaica,5,Aragón,2,2021
302,129577.571,0.0838460168839096,Solar fotovoltaica,5,Aragón,3,2021
303,181407.039,0.1517411343496159,Solar fotovoltaica,5,Aragón,4,2021
304,258720.47,0.2003544102932511,Solar fotovoltaica,5,Aragón,5,2021
305,228310.004,0.2103502246231436,Solar fotovoltaica,5,Aragón,6,2021
306,260014.917,0.1912745022014847,Solar fotovoltaica,5,Aragón,7,2021
307,235912.585,0.2062454470839465,Solar fotovoltaica,5,Aragón,8,2021
308,176600.248,0.2201882094104879,Solar fotovoltaica,5,Aragón,9,2021
309,162376.008,0.1734638891820738,Solar fotovoltaica,5,Aragón,10,2021
310,112936.043,0.0683959710733165,Solar fotovoltaica,5,Aragón,11,2021
311,64895.141,0.0488439253924573,Solar fotovoltaica,5,Aragón,12,2021
312,4269.769,0.0026766049097043,Otras renovables,5,Aragón,1,2021
313,2855.09,0.0023749895171017,Otras renovables,5,Aragón,2,2021
314,3613.655,0.0023382949364178,Otras renovables,5,Aragón,3,2021
315,4175.863,0.0034929746497245,Otras renovables,5,Aragón,4,2021
316,4260.807,0.00329958999324,Otras renovables,5,Aragón,5,2021
317,3787.998,0.0034900189050499,Otras renovables,5,Aragón,6,2021
318,4691.78,0.0034514092279516,Otras renovables,5,Aragón,7,2021
319,4241.46,0.0037080760824551,Otras renovables,5,Aragón,8,2021
320,4223.832,0.0052663459732554,Otras renovables,5,Aragón,9,2021
321,4581.506,0.0048943551381741,Otras renovables,5,Aragón,10,2021
322,4136.553,0.0025051662145736,Otras renovables,5,Aragón,11,2021
323,3940.561,0.0029658995191708,Otras renovables,5,Aragón,12,2021
324,292.916,0.0038550933128392,Hidráulica,8742,Canarias,1,2019
325,265.049,0.0036896073690305,Hidráulica,8742,Canarias,2,2019
326,298.315,0.0023879592134661,Hidráulica,8742,Canarias,3,2019
327,296.753,0.0031426768823371,Hidráulica,8742,Canarias,4,2019
328,305.942,0.0023869668871014,Hidráulica,8742,Canarias,5,2019
329,276.681,0.0027622148897979,Hidráulica,8742,Canarias,6,2019
330,298.419,0.0015482570892157,Hidráulica,8742,Canarias,7,2019
331,299.29,0.0015692048407722,Hidráulica,8742,Canarias,8,2019
332,282.539,0.002225773690307,Hidráulica,8742,Canarias,9,2019
333,297.947,0.0026467071109852,Hidráulica,8742,Canarias,10,2019
334,296.523,0.0020212009648499,Hidráulica,8742,Canarias,11,2019
335,299.145,0.0033851593311306,Hidráulica,8742,Canarias,12,2019
336,1109.656,0.0146042804939024,Hidroeólica,8742,Canarias,1,2019
337,972.545,0.0135382861233726,Hidroeólica,8742,Canarias,2,2019
338,1955.158,0.0156506966122454,Hidroeólica,8742,Canarias,3,2019
339,1548.369,0.0163975544025757,Hidroeólica,8742,Canarias,4,2019
340,2031.012,0.0158460047698767,Hidroeólica,8742,Canarias,5,2019
341,1372.141,0.0136986215211822,Hidroeólica,8742,Canarias,6,2019
342,3727.338,0.0193381704328588,Hidroeólica,8742,Canarias,7,2019
343,3475.119,0.0182203667247809,Hidroeólica,8742,Canarias,8,2019
344,2218.351,0.0174756309453434,Hidroeólica,8742,Canarias,9,2019
345,1582.837,0.0140605743418478,Hidroeólica,8742,Canarias,10,2019
346,2096.522,0.0142906023790028,Hidroeólica,8742,Canarias,11,2019
347,1159.67,0.0131229595063675,Hidroeólica,8742,Canarias,12,2019
348,55716.046,0.7332837958747331,Eólica,8742,Canarias,1,2019
349,48413.317,0.6739362576822044,Eólica,8742,Canarias,2,2019
350,96842.352,0.7752060295731996,Eólica,8742,Canarias,3,2019
351,67113.055,0.710741412728851,Eólica,8742,Canarias,4,2019
352,95432.451,0.7445662919505284,Eólica,8742,Canarias,5,2019
353,74330.709,0.7420726076927465,Eólica,8742,Canarias,6,2019
354,158185.457,0.8206975936890252,Eólica,8742,Canarias,7,2019
355,158502.759,0.8310444608859636,Eólica,8742,Canarias,8,2019
356,100474.589,0.7915144342572787,Eólica,8742,Canarias,9,2019
357,89263.401,0.7929399462905367,Eólica,8742,Canarias,10,2019
358,125116.103,0.8528336355084091,Eólica,8742,Canarias,11,2019
359,68726.336,0.777715146851266,Eólica,8742,Canarias,12,2019
360,17899.612,0.2355783723784872,Solar fotovoltaica,8742,Canarias,1,2019
361,21362.932,0.2973821117276349,Solar fotovoltaica,8742,Canarias,2,2019
362,24927.767,0.1995423994059523,Solar fotovoltaica,8742,Canarias,3,2019
363,24572.315,0.2602260003976624,Solar fotovoltaica,8742,Canarias,4,2019
364,29457.906,0.2298312954264081,Solar fotovoltaica,8742,Canarias,5,2019
365,23363.525,0.2332472292393266,Solar fotovoltaica,8742,Canarias,6,2019
366,29616.449,0.153656024320325,Solar fotovoltaica,8742,Canarias,7,2019
367,27737.331,0.1454293630769577,Solar fotovoltaica,8742,Canarias,8,2019
368,23527.582,0.1853445825607879,Solar fotovoltaica,8742,Canarias,9,2019
369,20851.228,0.1852245312769534,Solar fotovoltaica,8742,Canarias,10,2019
370,18324.16,0.1249036664004614,Solar fotovoltaica,8742,Canarias,11,2019
371,17279.291,0.195534450396872,Solar fotovoltaica,8742,Canarias,12,2019
372,963.329,0.0126784579400377,Otras renovables,8742,Canarias,1,2019
373,822.798,0.0114537370977576,Otras renovables,8742,Canarias,2,2019
374,901.071,0.0072129151951364,Otras renovables,8742,Canarias,3,2019
375,896.333,0.0094923555885734,Otras renovables,8742,Canarias,4,2019
376,944.555,0.0073694409660853,Otras renovables,8742,Canarias,5,2019
377,823.3,0.0082193266569465,Otras renovables,8742,Canarias,6,2019
378,917.458,0.0047599544685751,Otras renovables,8742,Canarias,7,2019
379,712.672,0.0037366044715254,Otras renovables,8742,Canarias,8,2019
380,436.619,0.0034395785462827,Otras renovables,8742,Canarias,9,2019
381,577.3,0.0051282409796768,Otras renovables,8742,Canarias,10,2019
382,873.034,0.0059508947472768,Otras renovables,8742,Canarias,11,2019
383,905.106,0.0102422839143638,Otras renovables,8742,Canarias,12,2019
384,304.314,0.0037711831167822,Hidráulica,8742,Canarias,1,2020
385,267.69,0.0023103506479481,Hidráulica,8742,Canarias,2,2020
386,299.312,0.0024675572919017,Hidráulica,8742,Canarias,3,2020
